SDN,CRUISE,STATION,LON,LAT,date,lon_W
739123.297499873,2903787,25,68.8483928333333,-51.6813258333333,2023-08-25,68.8483928333333
739133.296099432,2903787,26,68.5154191666667,-51.2159493333333,2023-06-04,68.5154191666667
739143.297488281,2903787,27,68.0346785,-51.004775,2023-08-14,68.0346785
739153.296122532,2903787,28,67.6560706666667,-50.8021778333333,2023-06-24,67.6560706666667
739163.298877211,2903787,29,67.1498195,-50.6378115,2023-10-04,67.1498195
739173.297476748,2903787,30,66.8739061666667,-50.3591051666667,2023-08-14,66.8739061666667
739183.297511421,2903787,31,66.6846201666667,-50.1830606666667,2023-08-24,66.6846201666667
739193.298877209,2903787,32,66.5358066666667,-49.948647,2023-10-03,66.5358066666667
739203.296076237,2903787,33,65.3848586666667,-49.5477486666667,2023-06-13,65.3848586666667
739204.798877315,2903787,34,65.2038903333333,-49.5228038333333,2023-10-14,65.2038903333333
739214.300277644,2903787,35,65.0206911666667,-49.5037988333333,2023-12-24,65.0206911666667
739224.298877211,2903787,36,64.5152631666667,-49.3361158333333,2023-10-04,64.5152631666667
739234.303043848,2903787,37,64.3649535,-48.9229655,2023-16-14,64.3649535
739244.301620268,2903787,38,64.2983036666667,-48.3846066666667,2023-14-24,64.2983036666667
739254.294698996,2903787,39,64.0691848333333,-48.0665118333333,2024-04-03,64.0691848333333
739264.300277626,2903787,40,64.0781526666667,-47.9304085,2024-12-13,64.0781526666667
739274.298865639,2903787,41,64.1891686666667,-47.8440615,2024-10-23,64.1891686666667
739284.298877214,2903787,42,64.503177,-47.5299166666667,2024-10-02,64.503177
739294.297488326,2903787,43,64.6989066666667,-46.9107406666667,2024-08-12,64.6989066666667
739304.296076314,2903787,44,65.6632778333333,-46.6699385,2024-06-22,65.6632778333333
739314.297476748,2903787,45,67.5714643333333,-45.569469,2024-08-03,67.5714643333333
739324.29471052,2903787,46,69.5213405,-46.6505363333333,2024-04-13,69.5213405
739334.304421194,2903787,47,71.6091805,-46.5616543333333,2024-18-23,71.6091805
739339.301608745,2903787,48,72.3326221666667,-46.6027768333333,2024-14-28,72.3326221666667
739344.293286935,2903787,49,73.2721753333333,-47.2480873333333,2024-02-02,73.2721753333333
739349.297453602,2903787,50,74.3087353333333,-47.4772751666667,2024-08-07,74.3087353333333
739354.293298461,2903787,51,75.335032,-47.4069615,2024-02-12,75.335032
739359.296053191,2903787,52,76.1034703333333,-48.1283906666667,2024-06-17,76.1034703333333
739364.296064714,2903787,53,76.0719841666667,-48.1741483333333,2024-06-22,76.0719841666667
739369.297465123,2903787,54,77.2856466666667,-47.7895388333333,2024-08-27,77.2856466666667
739374.29605319,2903787,55,77.1859475,-47.8125316666667,2024-06-02,77.1859475
739379.29468735,2903787,56,77.6291756666667,-47.7564393333333,2024-04-07,77.6291756666667
739384.297453603,2903787,57,76.8288386666667,-47.8350675,2024-08-12,76.8288386666667
739389.297465177,2903787,58,77.3043301666667,-47.5629586666667,2024-08-17,77.3043301666667
739394.290509206,2903787,59,77.7582746666667,-48.3973725,2024-58-22,77.7582746666667
739399.298854064,2903787,60,77.7442981666667,-47.8519501666667,2024-10-27,77.7442981666667
739404.297453601,2903787,61,77.5299716666667,-47.5644275,2024-08-01,77.5299716666667
739409.297465121,2903787,62,77.5086241666667,-47.4726255,2024-08-06,77.5086241666667
739414.297453598,2903787,63,77.7682548333333,-47.3177878333333,2024-08-11,77.7682548333333
739419.300219856,2903787,64,77.9557341666667,-47.3074521666667,2024-12-16,77.9557341666667
739424.297465125,2903787,65,78.6105616666667,-47.4174885,2024-08-21,78.6105616666667
739429.297453602,2903787,66,79.5520465,-47.5010158333333,2024-08-26,79.5520465
739434.300219854,2903787,67,80.8546825,-47.5076611666667,2024-12-01,80.8546825
739439.29885401,2903787,68,81.6549243333333,-47.5358103333333,2024-10-06,81.6549243333333
739448.298865654,2903787,69,82.5042498333333,-48.4212108333333,2024-10-15,82.5042498333333
739457.297465219,2903787,70,83.0890118333333,-49.4450756666667,2024-08-24,83.0890118333333
739466.297488313,2903787,71,82.7004828333333,-50.2505698333333,2024-08-02,82.7004828333333
739061.69375,4903590,1,208.316,52.004,2023-39-24,-151.684
739062.690972222,4903590,2,208.315,52.02,2023-35-25,-151.685
739063.698611111,4903590,3,208.319,52.031,2023-46-26,-151.681
739064.695833333,4903590,4,208.334,52.029,2023-42-27,-151.666
739065.693055556,4903590,5,208.331,52.039,2023-38-28,-151.669
739070.876388889,4903590,6,208.404,52.069,2023-02-03,-151.596
739076.083333333,4903590,7,208.414,52.091,2023-00-09,-151.586
739081.273611111,4903590,8,208.45,52.1,2023-34-14,-151.55
739086.484027778,4903590,9,208.543,52.076,2023-37-19,-151.457
739091.675694444,4903590,10,208.606,52.056,2023-13-24,-151.394
739096.868055556,4903590,11,208.708,52.029,2023-50-29,-151.292
739102.06875,4903590,12,208.8,51.986,2023-39-04,-151.2
739107.259027778,4903590,13,208.904,51.914,2023-13-09,-151.096
739112.471527778,4903590,14,208.984,51.869,2023-19-14,-151.016
739117.698611111,4903590,15,209.044,51.833,2023-46-19,-150.956
739122.89375,4903590,16,209.065,51.781,2023-27-24,-150.935
739128.09375,4903590,17,209.091,51.747,2023-15-30,-150.909
739133.313888889,4903590,18,209.108,51.705,2023-32-04,-150.892
739138.525694444,4903590,19,209.079,51.668,2023-37-09,-150.921
739143.724305556,4903590,20,209.107,51.654,2023-23-14,-150.893
739148.94375,4903590,21,209.168,51.614,2023-39-19,-150.832
739154.140972222,4903590,22,209.132,51.58,2023-23-25,-150.868
739159.336805556,4903590,23,209.183,51.557,2023-05-30,-150.817
739164.526388889,4903590,24,209.256,51.541,2023-38-05,-150.744
739169.723611111,4903590,25,209.235,51.52,2023-22-10,-150.765
739174.926388889,4903590,26,209.2,51.497,2023-14-15,-150.8
739180.138194444,4903590,27,209.206,51.491,2023-19-21,-150.794
739185.339583333,4903590,28,209.156,51.496,2023-09-26,-150.844
739190.538888889,4903590,29,209.09,51.473,2023-56-31,-150.91
739195.734722222,4903590,30,209.038,51.442,2023-38-05,-150.962
739200.9375,4903590,31,209.04,51.443,2023-30-10,-150.96
739206.134027778,4903590,32,209.058,51.416,2023-13-16,-150.942
739211.359027778,4903590,33,209.041,51.409,2023-37-21,-150.959
739216.547916667,4903590,34,209.047,51.428,2023-09-26,-150.953
739221.741666667,4903590,35,209.054,51.399,2023-48-01,-150.946
739226.957638889,4903590,36,209.118,51.426,2023-59-06,-150.882
739232.164583333,4903590,37,209.154,51.41,2023-57-12,-150.846
739237.359722222,4903590,38,209.16,51.424,2023-38-17,-150.84
739242.586805556,4903590,39,209.182,51.402,2023-05-22,-150.818
739247.777777778,4903590,40,209.232,51.42,2023-40-27,-150.768
739252.977083333,4903590,41,209.239,51.395,2024-27-01,-150.761
739258.19375,4903590,42,209.296,51.364,2024-39-07,-150.704
739263.410416667,4903590,43,209.335,51.339,2024-51-12,-150.665
739268.601388889,4903590,44,209.277,51.343,2024-26-17,-150.723
739273.81875,4903590,45,209.297,51.332,2024-39-22,-150.703
739279.013888889,4903590,46,209.276,51.311,2024-20-28,-150.724
739284.202777778,4903590,47,209.243,51.315,2024-52-02,-150.757
739289.393055556,4903590,48,209.276,51.27,2024-26-07,-150.724
739294.580555556,4903590,49,209.286,51.258,2024-56-12,-150.714
739299.777777778,4903590,50,209.18,51.249,2024-40-17,-150.82
739304.977083333,4903590,51,209.163,51.232,2024-27-22,-150.837
739310.169444444,4903590,52,209.173,51.155,2024-04-28,-150.827
739315.425,4903590,53,209.178,51.1,2024-12-04,-150.822
739320.620138889,4903590,54,209.199,51.064,2024-53-09,-150.801
739325.835416667,4903590,55,209.145,51.065,2024-03-14,-150.855
